index	label	network_label	label_7network	index_17network	label_17network	network_label_17network	atlas_name	network_id
1	LH_Vis_1	Vis	7Networks_LH_Vis_1	61.0	17Networks_LH_DorsAttnA_TempOcc_2	DorsAttnA	4S456	n/a
2	LH_Vis_2	Vis	7Networks_LH_Vis_2	193.0	17Networks_LH_DefaultC_PHC_2	DefaultC	4S456	n/a
3	LH_Vis_3	Vis	7Networks_LH_Vis_3	1.0	17Networks_LH_VisCent_ExStr_1	VisCent	4S456	n/a
4	LH_Vis_4	Vis	7Networks_LH_Vis_4	13.0	17Networks_LH_VisPeri_ExStrInf_1	VisPeri	4S456	n/a
5	LH_Vis_5	Vis	7Networks_LH_Vis_5	2.0	17Networks_LH_VisCent_ExStr_2	VisCent	4S456	n/a
6	LH_Vis_6	Vis	7Networks_LH_Vis_6	3.0	17Networks_LH_VisCent_ExStr_3	VisCent	4S456	n/a
7	LH_Vis_7	Vis	7Networks_LH_Vis_7	194.0	17Networks_LH_DefaultC_PHC_3	DefaultC	4S456	n/a
8	LH_Vis_8	Vis	7Networks_LH_Vis_8	63.0	17Networks_LH_DorsAttnA_TempOcc_4	DorsAttnA	4S456	n/a
9	LH_Vis_9	Vis	7Networks_LH_Vis_9	4.0	17Networks_LH_VisCent_ExStr_4	VisCent	4S456	n/a
10	LH_Vis_10	Vis	7Networks_LH_Vis_10	14.0	17Networks_LH_VisPeri_ExStrInf_2	VisPeri	4S456	n/a
11	LH_Vis_11	Vis	7Networks_LH_Vis_11	15.0	17Networks_LH_VisPeri_ExStrInf_3	VisPeri	4S456	n/a
12	LH_Vis_12	Vis	7Networks_LH_Vis_12	5.0	17Networks_LH_VisCent_ExStr_5	VisCent	4S456	n/a
13	LH_Vis_13	Vis	7Networks_LH_Vis_13	16.0	17Networks_LH_VisPeri_ExStrInf_4	VisPeri	4S456	n/a
14	LH_Vis_14	Vis	7Networks_LH_Vis_14	6.0	17Networks_LH_VisCent_ExStr_6	VisCent	4S456	n/a
15	LH_Vis_15	Vis	7Networks_LH_Vis_15	7.0	17Networks_LH_VisCent_Striate_1	VisCent	4S456	n/a
16	LH_Vis_16	Vis	7Networks_LH_Vis_16	17.0	17Networks_LH_VisPeri_ExStrInf_5	VisPeri	4S456	n/a
17	LH_Vis_17	Vis	7Networks_LH_Vis_17	8.0	17Networks_LH_VisCent_ExStr_7	VisCent	4S456	n/a
18	LH_Vis_18	Vis	7Networks_LH_Vis_18	18.0	17Networks_LH_VisPeri_StriCal_1	VisPeri	4S456	n/a
19	LH_Vis_19	Vis	7Networks_LH_Vis_19	9.0	17Networks_LH_VisCent_ExStr_8	VisCent	4S456	n/a
20	LH_Vis_20	Vis	7Networks_LH_Vis_20	189.0	17Networks_LH_DefaultC_Rsp_1	DefaultC	4S456	n/a
21	LH_Vis_21	Vis	7Networks_LH_Vis_21	19.0	17Networks_LH_VisPeri_StriCal_2	VisPeri	4S456	n/a
22	LH_Vis_22	Vis	7Networks_LH_Vis_22	20.0	17Networks_LH_VisPeri_ExStrSup_1	VisPeri	4S456	n/a
23	LH_Vis_23	Vis	7Networks_LH_Vis_23	10.0	17Networks_LH_VisCent_ExStr_9	VisCent	4S456	n/a
24	LH_Vis_24	Vis	7Networks_LH_Vis_24	11.0	17Networks_LH_VisCent_ExStr_10	VisCent	4S456	n/a
25	LH_Vis_25	Vis	7Networks_LH_Vis_25	21.0	17Networks_LH_VisPeri_ExStrSup_2	VisPeri	4S456	n/a
26	LH_Vis_26	Vis	7Networks_LH_Vis_26	22.0	17Networks_LH_VisPeri_ExStrSup_3	VisPeri	4S456	n/a
27	LH_Vis_27	Vis	7Networks_LH_Vis_27	12.0	17Networks_LH_VisCent_ExStr_11	VisCent	4S456	n/a
28	LH_Vis_28	Vis	7Networks_LH_Vis_28	65.0	17Networks_LH_DorsAttnA_ParOcc_2	DorsAttnA	4S456	n/a
29	LH_Vis_29	Vis	7Networks_LH_Vis_29	23.0	17Networks_LH_VisPeri_ExStrSup_4	VisPeri	4S456	n/a
30	LH_Vis_30	Vis	7Networks_LH_Vis_30	24.0	17Networks_LH_VisPeri_ExStrSup_5	VisPeri	4S456	n/a
31	LH_Vis_31	Vis	7Networks_LH_Vis_31	67.0	17Networks_LH_DorsAttnA_SPL_2	DorsAttnA	4S456	n/a
32	LH_SomMot_1	SomMot	7Networks_LH_SomMot_1	44.0	17Networks_LH_SomMotB_Aud_1	SomMotB	4S456	n/a
33	LH_SomMot_2	SomMot	7Networks_LH_SomMot_2	45.0	17Networks_LH_SomMotB_Aud_2	SomMotB	4S456	n/a
34	LH_SomMot_3	SomMot	7Networks_LH_SomMot_3	46.0	17Networks_LH_SomMotB_Ins_1	SomMotB	4S456	n/a
35	LH_SomMot_4	SomMot	7Networks_LH_SomMot_4	47.0	17Networks_LH_SomMotB_S2_1	SomMotB	4S456	n/a
36	LH_SomMot_5	SomMot	7Networks_LH_SomMot_5	48.0	17Networks_LH_SomMotB_S2_2	SomMotB	4S456	n/a
37	LH_SomMot_6	SomMot	7Networks_LH_SomMot_6	49.0	17Networks_LH_SomMotB_Aud_3	SomMotB	4S456	n/a
38	LH_SomMot_7	SomMot	7Networks_LH_SomMot_7	50.0	17Networks_LH_SomMotB_Aud_4	SomMotB	4S456	n/a
39	LH_SomMot_8	SomMot	7Networks_LH_SomMot_8	51.0	17Networks_LH_SomMotB_S2_3	SomMotB	4S456	n/a
40	LH_SomMot_9	SomMot	7Networks_LH_SomMot_9	52.0	17Networks_LH_SomMotB_S2_4	SomMotB	4S456	n/a
41	LH_SomMot_10	SomMot	7Networks_LH_SomMot_10	53.0	17Networks_LH_SomMotB_S2_5	SomMotB	4S456	n/a
42	LH_SomMot_11	SomMot	7Networks_LH_SomMot_11	54.0	17Networks_LH_SomMotB_S2_6	SomMotB	4S456	n/a
43	LH_SomMot_12	SomMot	7Networks_LH_SomMot_12	55.0	17Networks_LH_SomMotB_Cent_1	SomMotB	4S456	n/a
44	LH_SomMot_13	SomMot	7Networks_LH_SomMot_13	56.0	17Networks_LH_SomMotB_Cent_2	SomMotB	4S456	n/a
45	LH_SomMot_14	SomMot	7Networks_LH_SomMot_14	57.0	17Networks_LH_SomMotB_Cent_3	SomMotB	4S456	n/a
46	LH_SomMot_15	SomMot	7Networks_LH_SomMot_15	74.0	17Networks_LH_DorsAttnB_PostC_2	DorsAttnB	4S456	n/a
47	LH_SomMot_16	SomMot	7Networks_LH_SomMot_16	58.0	17Networks_LH_SomMotB_Cent_4	SomMotB	4S456	n/a
48	LH_SomMot_17	SomMot	7Networks_LH_SomMot_17	59.0	17Networks_LH_SomMotB_Cent_5	SomMotB	4S456	n/a
49	LH_SomMot_18	SomMot	7Networks_LH_SomMot_18	25.0	17Networks_LH_SomMotA_1	SomMotA	4S456	n/a
50	LH_SomMot_19	SomMot	7Networks_LH_SomMot_19	26.0	17Networks_LH_SomMotA_2	SomMotA	4S456	n/a
51	LH_SomMot_20	SomMot	7Networks_LH_SomMot_20	27.0	17Networks_LH_SomMotA_3	SomMotA	4S456	n/a
52	LH_SomMot_21	SomMot	7Networks_LH_SomMot_21	28.0	17Networks_LH_SomMotA_4	SomMotA	4S456	n/a
53	LH_SomMot_22	SomMot	7Networks_LH_SomMot_22	29.0	17Networks_LH_SomMotA_5	SomMotA	4S456	n/a
54	LH_SomMot_23	SomMot	7Networks_LH_SomMot_23	30.0	17Networks_LH_SomMotA_6	SomMotA	4S456	n/a
55	LH_SomMot_24	SomMot	7Networks_LH_SomMot_24	31.0	17Networks_LH_SomMotA_7	SomMotA	4S456	n/a
56	LH_SomMot_25	SomMot	7Networks_LH_SomMot_25	32.0	17Networks_LH_SomMotA_8	SomMotA	4S456	n/a
57	LH_SomMot_26	SomMot	7Networks_LH_SomMot_26	33.0	17Networks_LH_SomMotA_9	SomMotA	4S456	n/a
58	LH_SomMot_27	SomMot	7Networks_LH_SomMot_27	78.0	17Networks_LH_DorsAttnB_PostC_6	DorsAttnB	4S456	n/a
59	LH_SomMot_28	SomMot	7Networks_LH_SomMot_28	34.0	17Networks_LH_SomMotA_10	SomMotA	4S456	n/a
60	LH_SomMot_29	SomMot	7Networks_LH_SomMot_29	35.0	17Networks_LH_SomMotA_11	SomMotA	4S456	n/a
61	LH_SomMot_30	SomMot	7Networks_LH_SomMot_30	36.0	17Networks_LH_SomMotA_12	SomMotA	4S456	n/a
62	LH_SomMot_31	SomMot	7Networks_LH_SomMot_31	37.0	17Networks_LH_SomMotA_13	SomMotA	4S456	n/a
63	LH_SomMot_32	SomMot	7Networks_LH_SomMot_32	38.0	17Networks_LH_SomMotA_14	SomMotA	4S456	n/a
64	LH_SomMot_33	SomMot	7Networks_LH_SomMot_33	39.0	17Networks_LH_SomMotA_15	SomMotA	4S456	n/a
65	LH_SomMot_34	SomMot	7Networks_LH_SomMot_34	40.0	17Networks_LH_SomMotA_16	SomMotA	4S456	n/a
