	index	ROIName7	R	A	S	tf_label_7	tf_color_7	ROILabel17	ROIName17	tf_label_17	tf_color_17
0	1	7Networks_LH_Vis_1	-32	-42	-20	7Networks_LH_Vis_1	#781180	61	17Networks_LH_DorsAttnA_TempOcc_2	17Networks_LH_DorsAttnA_TempOcc_2	#4a9b3e
1	2	7Networks_LH_Vis_2	-30	-32	-18	7Networks_LH_Vis_2	#781181	193	17Networks_LH_DefaultC_PHC_2	17Networks_LH_DefaultC_PHC_2	#000184
2	3	7Networks_LH_Vis_3	-36	-62	-16	7Networks_LH_Vis_3	#781182	1	17Networks_LH_VisCent_ExStr_1	17Networks_LH_VisCent_ExStr_1	#781283
3	4	7Networks_LH_Vis_4	-24	-54	-8	7Networks_LH_Vis_4	#781183	13	17Networks_LH_VisPeri_ExStrInf_1	17Networks_LH_VisPeri_ExStrSup_1	#ff0101
4	5	7Networks_LH_Vis_5	-24	-72	-10	7Networks_LH_Vis_5	#781184	2	17Networks_LH_VisCent_ExStr_2	17Networks_LH_VisCent_ExStr_2	#781284
5	6	7Networks_LH_Vis_6	-36	-82	-16	7Networks_LH_Vis_6	#781185	3	17Networks_LH_VisCent_ExStr_3	17Networks_LH_VisCent_ExStr_3	#781285
6	7	7Networks_LH_Vis_7	-18	-38	-12	7Networks_LH_Vis_7	#781186	194	17Networks_LH_DefaultC_PHC_3	17Networks_LH_DefaultC_PHC_3	#000185
7	8	7Networks_LH_Vis_8	-46	-70	-8	7Networks_LH_Vis_8	#78127f	63	17Networks_LH_DorsAttnA_TempOcc_4	17Networks_LH_DorsAttnA_TempOcc_4	#4a9b40
8	9	7Networks_LH_Vis_9	-16	-86	-16	7Networks_LH_Vis_9	#781280	4	17Networks_LH_VisCent_ExStr_4	17Networks_LH_VisCent_ExStr_4	#781286
9	10	7Networks_LH_Vis_10	-12	-62	-4	7Networks_LH_Vis_10	#781281	14	17Networks_LH_VisPeri_ExStrInf_2	17Networks_LH_VisPeri_ExStrSup_2	#ff0102
10	11	7Networks_LH_Vis_11	-6	-76	-6	7Networks_LH_Vis_11	#781282	15	17Networks_LH_VisPeri_ExStrInf_3	17Networks_LH_VisPeri_ExStrSup_3	#ff0103
11	12	7Networks_LH_Vis_12	-24	-96	-12	7Networks_LH_Vis_12	#781283	5	17Networks_LH_VisCent_ExStr_5	17Networks_LH_VisCent_ExStr_5	#781288
