index	label	network_id	network_label	atlas_name
1	LH-Pu			CIT168Subcortical
2	LH-Ca			CIT168Subcortical
3	LH-NAC			CIT168Subcortical
4	LH-EXA			CIT168Subcortical
5	LH-GPe			CIT168Subcortical
6	LH-GPi			CIT168Subcortical
7	LH-SNc_PBP_VTA			CIT168Subcortical
8	LH-RN			CIT168Subcortical
9	LH-SNr			CIT168Subcortical
12	LH-VeP			CIT168Subcortical
13	LH-HN			CIT168Subcortical
14	LH-HTH			CIT168Subcortical
15	LH-MN			CIT168Subcortical
16	LH-STH			CIT168Subcortical
101	RH-Pu			CIT168Subcortical
102	RH-Ca			CIT168Subcortical
103	RH-NAC			CIT168Subcortical
104	RH-EXA			CIT168Subcortical
105	RH-GPe			CIT168Subcortical
106	RH-GPi			CIT168Subcortical
107	RH-SNc_PBP_VTA			CIT168Subcortical
108	RH-RN			CIT168Subcortical
109	RH-SNr			CIT168Subcortical
112	RH-VeP			CIT168Subcortical
113	RH-HN			CIT168Subcortical
114	RH-HTH			CIT168Subcortical
115	RH-MN			CIT168Subcortical
116	RH-STH			CIT168Subcortical
117	LH-Pulvinar			ThalamusHCP
118	LH-Anterior			ThalamusHCP
119	LH-Medio_Dorsal			ThalamusHCP
120	LH-Ventral_Latero_Dorsal			ThalamusHCP
121	LH-Central_Lateral-Lateral_Posterior-Medial_Pulvinar			ThalamusHCP
122	LH-Ventral_Anterior			ThalamusHCP
123	LH-Ventral_Latero_Ventral			ThalamusHCP
124	RH-Pulvinar			ThalamusHCP
125	RH-Anterior			ThalamusHCP
126	RH-Medio_Dorsal			ThalamusHCP
127	RH-Ventral_Latero_Dorsal			ThalamusHCP
128	RH-Central_Lateral-Lateral_Posterior-Medial_Pulvinar			ThalamusHCP
129	RH-Ventral_Anterior			ThalamusHCP
130	RH-Ventral_Latero_Ventral			ThalamusHCP
131	Cerebellar_Region1			Cerebellum
132	Cerebellar_Region2			Cerebellum
133	Cerebellar_Region3			Cerebellum
134	Cerebellar_Region4			Cerebellum
135	Cerebellar_Region5			Cerebellum
136	Cerebellar_Region6			Cerebellum
137	Cerebellar_Region7			Cerebellum
138	Cerebellar_Region8			Cerebellum
139	Cerebellar_Region9			Cerebellum
140	Cerebellar_Region10			Cerebellum
